name   , roles                                     , target_hours, max_hours, year, Mon_08:00, Mon_08:30, Mon_09:00, Mon_09:30, Mon_10:00, Mon_10:30, Mon_11:00, Mon_11:30, Mon_12:00, Mon_12:30, Mon_13:00, Mon_13:30, Mon_14:00, Mon_14:30, Mon_15:00, Mon_15:30, Mon_16:00, Mon_16:30, Tue_08:00, Tue_08:30, Tue_09:00, Tue_09:30, Tue_10:00, Tue_10:30, Tue_11:00, Tue_11:30, Tue_12:00, Tue_12:30, Tue_13:00, Tue_13:30, Tue_14:00, Tue_14:30, Tue_15:00, Tue_15:30, Tue_16:00, Tue_16:30, Wed_08:00, Wed_08:30, Wed_09:00, Wed_09:30, Wed_10:00, Wed_10:30, Wed_11:00, Wed_11:30, Wed_12:00, Wed_12:30, Wed_13:00, Wed_13:30, Wed_14:00, Wed_14:30, Wed_15:00, Wed_15:30, Wed_16:00, Wed_16:30, Thu_08:00, Thu_08:30, Thu_09:00, Thu_09:30, Thu_10:00, Thu_10:30, Thu_11:00, Thu_11:30, Thu_12:00, Thu_12:30, Thu_13:00, Thu_13:30, Thu_14:00, Thu_14:30, Thu_15:00, Thu_15:30, Thu_16:00, Thu_16:30, Fri_08:00, Fri_08:30, Fri_09:00, Fri_09:30, Fri_10:00, Fri_10:30, Fri_11:00, Fri_11:30, Fri_12:00, Fri_12:30, Fri_13:00, Fri_13:30, Fri_14:00, Fri_14:30, Fri_15:00, Fri_15:30, Fri_16:00, Fri_16:30
Alice  , events;front_desk;marketing               ,           12,        12,    2,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
Bob    , events;front_desk                         ,           11,        11,    1,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1
Charlie, events;front_desk                         ,           13,        13,    1,         1,         1,         1,         1,         0,         0,         1,         0,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         1,         0,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
Diana  , data_systems                              ,           15,        15,    2,         1,         1,         1,         0,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         0,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1
Eve    , employer_engagement;front_desk            ,           11,        11,    3,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1
Frank  , employer_engagement;front_desk            ,           12,        12,    2,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
Grace  , front_desk;employer_engagement            ,           11,        12,    1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1
Iris   , front_desk;marketing                      ,           12,        12,    2,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1
Jack   , front_desk;marketing                      ,           11,        11,    3,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         0,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
Kelly  , career_education;front_desk               ,           11,        11,    2,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
Leo    , career_education;front_desk               ,           12,        12,    2,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
Olivia , career_education;front_desk               ,           11,        12,    4,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1,         1
